Time(s),Temp(F),Temp(C)
1631571680,73.2875,22.9375
1631571681,73.2875,22.9375
1631571682,73.2875,22.9375
1631571683,73.2875,22.9375
1631571684,73.2875,22.9375
1631571685,73.2875,22.9375
1631571686,73.2875,22.9375
1631571687,73.2875,22.9375
1631571688,73.2875,22.9375
1631571689,73.2875,22.9375
1631571690,73.2875,22.9375
1631571691,73.2875,22.9375
1631571692,73.2875,22.9375
1631571693,73.2875,22.9375
1631571694,73.2875,22.9375
1631571695,73.4,23.0
1631571696,73.4,23.0
1631571697,73.4,23.0
1631571698,73.4,23.0
1631571699,73.4,23.0
1631571700,73.4,23.0
1631571701,73.4,23.0
1631571702,73.4,23.0
1631571703,73.4,23.0
1631571704,73.4,23.0
1631571705,73.4,23.0
1631571706,73.4,23.0
1631571707,73.4,23.0
1631571708,73.4,23.0
1631571709,73.4,23.0
1631571710,73.4,23.0
1631571711,73.4,23.0
1631571712,73.4,23.0
1631571713,73.4,23.0
1631571714,73.4,23.0
1631571715,73.4,23.0
1631571716,73.4,23.0
1631571717,73.4,23.0
1631571718,73.4,23.0
1631571719,73.4,23.0
1631571720,73.4,23.0
1631571721,73.4,23.0
1631571722,73.4,23.0
1631571723,73.4,23.0
1631571724,73.4,23.0
1631571725,73.4,23.0
1631571726,73.4,23.0
1631571727,73.4,23.0
1631571728,73.4,23.0
1631571729,73.4,23.0
1631571730,73.4,23.0
1631571731,73.4,23.0
1631571732,73.4,23.0
1631571733,73.4,23.0
1631571734,73.4,23.0
1631571735,73.4,23.0
1631571736,73.4,23.0
1631571737,73.4,23.0
1631571738,73.4,23.0
1631571739,73.4,23.0
1631571740,73.4,23.0
1631571741,73.4,23.0
1631571742,73.4,23.0
1631571743,73.4,23.0
1631571744,73.4,23.0
1631571745,73.4,23.0
1631571746,73.4,23.0
1631571747,73.4,23.0
1631571748,73.4,23.0
1631571749,73.4,23.0
1631571750,73.4,23.0
1631571751,73.4,23.0
1631571752,73.4,23.0
1631571753,73.4,23.0
1631571779,73.4,23.0
1631571780,73.5125,23.0625
1631571781,73.5125,23.0625
1631571782,73.5125,23.0625
1631571783,73.5125,23.0625
1631571784,73.5125,23.0625
1631571785,73.5125,23.0625
1631571786,73.5125,23.0625
1631571787,73.5125,23.0625
1631571788,73.5125,23.0625
1631571789,73.5125,23.0625
1631571790,73.5125,23.0625
1631571791,73.5125,23.0625
1631571792,73.5125,23.0625
1631571793,73.5125,23.0625
1631571794,73.5125,23.0625
1631571795,73.5125,23.0625
1631571796,73.5125,23.0625
1631571797,73.5125,23.0625
1631571798,73.5125,23.0625
1631571799,73.5125,23.0625
1631571800,73.5125,23.0625
1631571801,73.5125,23.0625
1631571802,73.5125,23.0625
1631571803,73.5125,23.0625
1631571852,73.5125,23.0625
1631571852,73.5125,23.0625
1631571854,73.5125,23.0625
1631571854,73.5125,23.0625
1631571856,73.5125,23.0625
1631571856,73.5125,23.0625
1631571858,73.5125,23.0625
1631571858,73.5125,23.0625
1631571860,73.5125,23.0625
1631571860,73.5125,23.0625
1631571862,73.5125,23.0625
1631571862,73.5125,23.0625
1631571864,73.5125,23.0625
1631571864,73.5125,23.0625
1631571866,73.5125,23.0625
1631571866,73.5125,23.0625
1631571868,73.5125,23.0625
1631571868,73.5125,23.0625
1631571870,73.625,23.125
1631571870,73.5125,23.0625
1631571872,73.5125,23.0625
1631571872,73.5125,23.0625
1631571874,73.5125,23.0625
1631571874,73.625,23.125
1631571876,73.5125,23.0625
1631571876,73.5125,23.0625
1631571878,73.5125,23.0625
1631571878,73.625,23.125
